id,name,full_name,,repo_name,created_at,updated_at,pushed_at,stargazers_count,has_issues,has_projects,has_downloads,has_wiki,has_pages,forks_count,mirror_url,open_issues_count,Commit,Branch,Release,Contributor,License,owner_id,owner_login,location
38334762,esp8266_and_arduino,chaeplin,esp8266_and_arduino,chaeplin/esp8266_and_arduino,2015-06-30T21:46:06Z,2017-09-06T08:39:31Z,2017-08-11T15:14:52Z,165,TRUE,TRUE,TRUE,TRUE,FALSE,49,,6,844,1,0,1,GPL-3.0,,,Korea
102413181,go-web-framework-stars,mingrammer,go-web-framework-stars,mingrammer/go-web-framework-stars,2017-09-05T00:08:59Z,2017-09-11T02:38:20Z,2017-09-10T00:30:25Z,165,TRUE,TRUE,TRUE,TRUE,FALSE,16,,3,42,1,0,12,MIT,,,Korea
15524861,jaguarjs-jsdoc,davidshimjs,jaguarjs-jsdoc,davidshimjs/jaguarjs-jsdoc,2013-12-30T09:42:31Z,2017-06-23T10:07:46Z,2017-07-14T21:18:53Z,164,TRUE,TRUE,TRUE,TRUE,FALSE,118,,31,33,1,0,5,MIT,,,Korea
77139995,TensorFlow-ML-Exercises,golbin,TensorFlow-ML-Exercises,golbin/TensorFlow-ML-Exercises,2016-12-22T11:42:56Z,2017-09-07T11:54:20Z,2017-02-26T15:38:36Z,163,TRUE,TRUE,TRUE,TRUE,FALSE,92,,0,9,1,0,1,MIT,,,Korea
10770489,hue-alfred-workflow,benknight,hue-alfred-workflow,benknight/hue-alfred-workflow,2013-06-18T18:33:32Z,2017-09-05T11:24:34Z,2017-08-22T14:53:04Z,163,TRUE,TRUE,TRUE,TRUE,FALSE,20,,2,211,1,7,67,BSD-3-Clause,,,Korea
56951693,Study_TensorFlow,FuZer,Study_TensorFlow,FuZer/Study_TensorFlow,2016-04-24T03:13:12Z,2017-09-05T19:35:53Z,2017-04-10T09:48:15Z,163,TRUE,TRUE,TRUE,TRUE,FALSE,120,,0,41,2,1,3,MIT,,,Korea
65195669,Kiko-plus,AWEEKJ,Kiko-plus,AWEEKJ/Kiko-plus,2016-08-08T10:33:16Z,2017-09-09T03:27:15Z,2017-07-30T06:06:11Z,160,TRUE,TRUE,TRUE,TRUE,TRUE,225,,3,61,2,0,5,MIT,,,Korea
99489471,ExpandableCell,younatics,ExpandableCell,younatics/ExpandableCell,2017-08-06T13:48:53Z,2017-09-10T13:11:02Z,2017-09-09T11:28:15Z,159,TRUE,TRUE,TRUE,TRUE,FALSE,12,,1,74,2,5,2,MIT,,,Korea
30801678,ModernCpp,utilForever,ModernCpp,utilForever/ModernCpp,2015-02-14T16:28:42Z,2017-08-11T02:50:38Z,2017-03-30T09:24:45Z,157,TRUE,TRUE,TRUE,TRUE,FALSE,19,,0,136,1,0,75,MIT,,,Korea
47449796,activate-power-mode,disjukr,activate-power-mode,disjukr/activate-power-mode,2015-12-05T09:18:10Z,2017-09-05T16:23:51Z,2017-04-29T08:52:17Z,153,TRUE,TRUE,TRUE,TRUE,TRUE,33,,2,21,1,0,5,MIT,,,Korea
3469245,dokanx,BenjaminKim,dokanx,BenjaminKim/dokanx,2012-02-17T11:06:03Z,2017-09-01T21:27:11Z,2017-03-27T21:06:42Z,152,TRUE,TRUE,TRUE,TRUE,FALSE,53,,18,84,6,0,1,MIT,,,Korea
77765629,neural_japanese_transliterator,Kyubyong,neural_japanese_transliterator,Kyubyong/neural_japanese_transliterator,2017-01-01T04:20:54Z,2017-07-25T03:01:54Z,2017-07-06T00:33:57Z,149,TRUE,TRUE,TRUE,TRUE,FALSE,14,,0,42,1,0,18,Apache-2.0,,,Korea
45688989,react-chatview,jsdevkr,react-chatview,jsdevkr/react-chatview,2015-11-06T15:11:34Z,2017-09-07T09:31:27Z,2017-08-15T14:53:10Z,145,TRUE,TRUE,TRUE,TRUE,FALSE,32,,6,321,2,6,19,MIT,,,Korea
77008142,word_prediction,Kyubyong,word_prediction,Kyubyong/word_prediction,2016-12-21T02:21:23Z,2017-09-07T19:50:41Z,2017-02-22T01:41:49Z,145,TRUE,TRUE,TRUE,TRUE,FALSE,13,,2,12,1,0,20,GPL-2.0,,,Korea
77309872,react-redux-typescript-boilerplate,rokoroku,react-redux-typescript-boilerplate,rokoroku/react-redux-typescript-boilerplate,2016-12-25T04:10:42Z,2017-09-06T17:38:02Z,2017-09-03T16:48:35Z,144,TRUE,TRUE,TRUE,TRUE,FALSE,53,,3,35,1,0,5,MIT,,,Korea
11745467,rust-encoding,lifthrasiir,rust-encoding,lifthrasiir/rust-encoding,2013-07-29T17:35:09Z,2017-08-25T19:18:20Z,2017-07-11T14:04:23Z,141,TRUE,TRUE,TRUE,FALSE,TRUE,47,,17,329,4,0,1,MIT,,,Korea
